Block level,Datetime,Operation,Received XTZ,Received EUR,From address,Sent XTZ,Sent EUR,Fee XTZ,Fee EUR,To address,Explorer link
2146579,2022-02-25 00:02:04,transaction,0.05,0.1354061028516321,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/op7SsoSnAGYViXbMTq4p4XYcH97Af3nwLWwzRhu3CaZ2nRhRvHK/20486971/22
2146592,2022-02-25 00:08:34,transaction,0.45,1.2206594535649202,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/op4KgDoRfqsTviSNsktJWiKbWs4otpkNp1H47oDa32U1rK5sxP8/50452160/48
2146624,2022-02-25 00:24:34,transaction,0.125,0.3460622319703545,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooHH8hJSZ5GcNc1fbjnCyvRPP3diBr4dQH4H78AEaoTUAh563v1/49586102/17
2146626,2022-02-25 00:25:34,transaction,0.005,0.013842489278814181,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/oni6Ev8BPN2E6GgHK1r9RQz9YHPBG683ySdNZwRrz2gXh2XYkYf/13782935/54
2146631,2022-02-25 00:28:04,transaction,0.0125,0.034705738193724474,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooaaFgQEFZFdz2LpjM67i7eVC6uzzBhXxx9DEUkyEZmpXtgiTZS/13782936/28
2146640,2022-02-25 00:32:34,transaction,0.00625,0.017375267810509916,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/onpS5dYFuZdXhvrgvMgCEKZa7FAQ3xPGvjGSN3TiLMGtyZRXUiy/49586103/19
2146642,2022-02-25 00:33:34,transaction,0.025,0.06950107124203966,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opaFK2fDi9eKzehz1xFM4dWeQTqfJwtjSzbnvp8szR9RGe9GAyw/44783157/22
2146658,2022-02-25 00:41:34,transaction,0.025,0.06928296901332864,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooUfQuKTuswz4cL6Vr2dtEouLqepJiWmFGXux3obbAbSvydVwSJ/40506359/23
2146670,2022-02-25 00:47:34,transaction,0.025,0.06893662417720779,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/oonGxWwmmXW6oGyquUfCAwKErkgSFXjG7yDevbQbUHjebfqcYsQ/14810391/22
2146671,2022-02-25 00:48:04,transaction,0.01,0.027574649670883113,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooxBbHeWeg5CoF7MYeoH96k7FfnG6kyXqJwD4zEv8U7eBpSKEdG/50550297/13
